epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,12614.1,1.21488,0.82328,1.31732,0.92494,0.88931,0.94716,0.67465,1.10039,0.59446,1.3759,0.004357,0.004357,0.004357
59,12830.4,1.21924,0.8213,1.32468,0.92652,0.88868,0.94835,0.67796,1.09344,0.59261,1.37586,0.004258,0.004258,0.004258
60,13047.7,1.20396,0.81327,1.31812,0.92227,0.89311,0.94539,0.67771,1.08759,0.59955,1.36387,0.004159,0.004159,0.004159
61,13264.7,1.20068,0.80446,1.31318,0.91837,0.88805,0.94528,0.67708,1.09042,0.60378,1.36387,0.00406,0.00406,0.00406
62,13481.5,1.19266,0.80753,1.30343,0.92894,0.88488,0.94744,0.67545,1.09451,0.60158,1.37014,0.003961,0.003961,0.003961
63,13698.2,1.18481,0.79857,1.3008,0.93547,0.88362,0.94508,0.67529,1.08697,0.60076,1.36977,0.003862,0.003862,0.003862
64,13916.5,1.18679,0.80465,1.30139,0.93252,0.88286,0.94745,0.6741,1.09372,0.59378,1.36997,0.003763,0.003763,0.003763
65,14132.2,1.18796,0.79669,1.30298,0.94133,0.88615,0.94673,0.67306,1.09686,0.59876,1.37471,0.003664,0.003664,0.003664
66,14349.4,1.1846,0.79083,1.29385,0.91384,0.899,0.94838,0.66938,1.09355,0.59337,1.36604,0.003565,0.003565,0.003565
67,14567.6,1.16472,0.77556,1.27935,0.93502,0.88285,0.94627,0.67374,1.0939,0.59754,1.36405,0.003466,0.003466,0.003466
68,14785.7,1.17879,0.77772,1.28453,0.92779,0.90006,0.94771,0.67142,1.10842,0.58578,1.37182,0.003367,0.003367,0.003367
69,15003.2,1.16652,0.7692,1.28288,0.94343,0.89753,0.95167,0.67322,1.10877,0.58132,1.37346,0.003268,0.003268,0.003268
