epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,18257.2,1.21649,0.87553,1.32164,0.95583,0.8987,0.95482,0.6369,1.16703,0.62603,1.30842,0.004159,0.004159,0.004159
61,18740.8,1.22581,0.87732,1.32094,0.952,0.89909,0.95443,0.6373,1.16534,0.62489,1.30732,0.00406,0.00406,0.00406
62,19130.4,1.21632,0.87215,1.31769,0.94843,0.89942,0.95344,0.6372,1.16626,0.62595,1.30895,0.003961,0.003961,0.003961
63,19400.6,1.20898,0.86189,1.31314,0.94734,0.9047,0.95444,0.63797,1.16558,0.62091,1.30691,0.003862,0.003862,0.003862
64,19671.5,1.19641,0.85549,1.30268,0.94718,0.90768,0.95436,0.63776,1.16425,0.61774,1.3064,0.003763,0.003763,0.003763
65,19954.8,1.21468,0.85797,1.31111,0.94727,0.90655,0.95484,0.64116,1.15913,0.61188,1.30181,0.003664,0.003664,0.003664
66,20235.1,1.20036,0.85243,1.30252,0.95158,0.90549,0.95506,0.64126,1.15699,0.6075,1.30159,0.003565,0.003565,0.003565
67,20516.6,1.18098,0.83881,1.29793,0.94908,0.90526,0.95403,0.64068,1.158,0.60661,1.30345,0.003466,0.003466,0.003466
68,20796.7,1.18463,0.8402,1.29553,0.94721,0.90655,0.95399,0.64171,1.15436,0.60635,1.29945,0.003367,0.003367,0.003367
69,21070.8,1.18785,0.84762,1.29745,0.9469,0.90834,0.95431,0.64284,1.15165,0.60576,1.29552,0.003268,0.003268,0.003268
70,21327.4,1.18001,0.83413,1.29527,0.94923,0.91,0.95542,0.64456,1.1475,0.60367,1.29282,0.003169,0.003169,0.003169
71,21588.1,1.18017,0.83116,1.29195,0.94725,0.90899,0.95424,0.64545,1.1463,0.60037,1.29333,0.00307,0.00307,0.00307
72,21847.8,1.17611,0.83679,1.28758,0.94462,0.90773,0.95325,0.64375,1.14806,0.59901,1.29527,0.002971,0.002971,0.002971
73,22145.7,1.16147,0.81149,1.2801,0.94429,0.90883,0.95426,0.64455,1.14709,0.59697,1.29547,0.002872,0.002872,0.002872
74,22414.7,1.16849,0.81866,1.28215,0.943,0.90711,0.95385,0.64447,1.14746,0.59396,1.29666,0.002773,0.002773,0.002773
75,22672.1,1.16215,0.81457,1.27754,0.94442,0.90753,0.95525,0.64526,1.14796,0.59112,1.29768,0.002674,0.002674,0.002674
76,22939.1,1.16951,0.80936,1.28186,0.94717,0.90745,0.95518,0.6466,1.14751,0.58835,1.29887,0.002575,0.002575,0.002575
77,23209.7,1.16032,0.80939,1.27703,0.94789,0.90785,0.95476,0.64628,1.14686,0.58834,1.29813,0.002476,0.002476,0.002476
78,23495,1.15012,0.80465,1.27431,0.94955,0.91077,0.95644,0.64746,1.14608,0.58691,1.29637,0.002377,0.002377,0.002377
79,23776.7,1.15315,0.80538,1.27111,0.95054,0.91047,0.95727,0.64936,1.14379,0.58493,1.29497,0.002278,0.002278,0.002278
80,24060.5,1.15058,0.80033,1.26885,0.94896,0.91272,0.95861,0.65055,1.14064,0.58395,1.29228,0.002179,0.002179,0.002179
81,24347.1,1.14651,0.79474,1.26887,0.95059,0.91272,0.95731,0.65101,1.13822,0.58397,1.29035,0.00208,0.00208,0.00208
82,24629.3,1.14076,0.78683,1.26503,0.95067,0.91207,0.957,0.65123,1.13659,0.58156,1.28832,0.001981,0.001981,0.001981
83,24920.8,1.13346,0.79129,1.26005,0.94979,0.9111,0.95632,0.65249,1.13323,0.5801,1.28553,0.001882,0.001882,0.001882
84,25202.6,1.12497,0.77749,1.25368,0.94897,0.91112,0.9569,0.65322,1.13091,0.57832,1.28397,0.001783,0.001783,0.001783
85,25466.5,1.13162,0.78587,1.26033,0.94988,0.91142,0.95687,0.65364,1.13058,0.57595,1.28373,0.001684,0.001684,0.001684
86,25745.9,1.12104,0.7714,1.25118,0.94898,0.91207,0.95791,0.65375,1.13052,0.57492,1.28414,0.001585,0.001585,0.001585
87,26032.4,1.11598,0.77347,1.25124,0.94974,0.91357,0.95787,0.65409,1.13046,0.57297,1.28415,0.001486,0.001486,0.001486
88,26321.7,1.11354,0.77116,1.24955,0.95036,0.91321,0.9577,0.65347,1.12906,0.57184,1.28289,0.001387,0.001387,0.001387
89,26603,1.11687,0.77238,1.25516,0.94998,0.91194,0.95678,0.65465,1.128,0.57066,1.28202,0.001288,0.001288,0.001288
90,26890,1.11142,0.76777,1.2489,0.95122,0.91114,0.95719,0.65589,1.12741,0.56917,1.28181,0.001189,0.001189,0.001189
91,27178.9,1.02874,0.55139,1.2127,0.95322,0.9111,0.95821,0.6562,1.12657,0.56809,1.28108,0.00109,0.00109,0.00109
92,27460.8,1.00966,0.52682,1.19864,0.953,0.91445,0.95942,0.65664,1.12593,0.56637,1.2808,0.000991,0.000991,0.000991
93,27736.1,1.0014,0.52805,1.19637,0.9515,0.91661,0.95929,0.65737,1.125,0.56493,1.2804,0.000892,0.000892,0.000892
94,27997.5,0.99344,0.52067,1.19267,0.95048,0.91694,0.95911,0.65775,1.12446,0.56428,1.27979,0.000793,0.000793,0.000793
95,28266.2,0.99274,0.51158,1.18733,0.95139,0.91452,0.95923,0.65857,1.12414,0.56331,1.27955,0.000694,0.000694,0.000694
96,28566.3,0.97871,0.50279,1.18102,0.9499,0.91655,0.958,0.65831,1.12337,0.56214,1.27935,0.000595,0.000595,0.000595
97,28846.7,0.97442,0.50799,1.17803,0.95052,0.9163,0.95814,0.65884,1.12197,0.56136,1.2786,0.000496,0.000496,0.000496
98,29122.9,0.97082,0.50514,1.17286,0.95019,0.91726,0.95826,0.66041,1.12097,0.56072,1.27772,0.000397,0.000397,0.000397
99,29390.5,0.96346,0.50117,1.17014,0.95035,0.91726,0.95831,0.66057,1.12092,0.5602,1.27779,0.000298,0.000298,0.000298
100,29649.9,0.96304,0.49435,1.16648,0.95153,0.91732,0.95858,0.66117,1.12016,0.55987,1.27696,0.000199,0.000199,0.000199
